publicado,puesto,empresa,ubicacion,modalidad,url
Actualizado hace 11 días,Analista de Integración de Datos/ Analista de Datos Presencial en Planilla,IBR PERU S.A.,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-integracion-de-datos-analista-de-datos-presencial-en-planilla-ibr-peru-s.a.-1118410494.html
Actualizado hace más de 15 días,Analista de Calidad de Datos (Banca),INDRA PERU,"San Isidro, Lima",Remoto,https://www.bumeran.com.pe/empleos/analista-de-calidad-de-datos-banca-indra-peru-1118416312.html
Actualizado hace más de 15 días,Analista de Gestión de Datos,Bigmond Group,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gestion-de-datos-bigmond-group-1118408997.html
Actualizado hace 6 días,P7498 Analista NOC Junior- Monitoreo de Base de Datos,METRICA PERU,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/p7498-analista-noc-junior-monitoreo-de-base-de-datos-metrica-peru-1118346386.html
Actualizado hace más de 15 días,ANALISTA DE DATOS JUNIOR,UNIVERSIDAD CATÓLICA SAN PABLO,"Arequipa, Arequipa",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-junior-universidad-catolica-san-pablo-1118404773.html
Actualizado hace 4 días,Analista de Control Interno I Power BI Análisis de Datos,GRUPO EFE,"Santiago de Surco, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-control-interno-i-power-bi-analisis-de-datos-grupo-efe-1118437421.html
Actualizado hace 3 días,Analista de Base de Datos – Calidad | Contact Center,UTP CONTACT CENTER,"Cercado De Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos--calidad-%7C-contact-center-utp-contact-center-1118422574.html
Actualizado hace 3 días,ANALISTA SENIOR DE PROCESAMIENTO DE DATOS/EXPERIENCIA RETAIL / INGLÉS AVANZADO,Grupo Tawa,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-senior-de-procesamiento-de-datos-experiencia-retail-ingles-avanzado-grupo-tawa-1118434680.html
Actualizado hace 8 días,Analista de datos - Analista BI,DELPILZONE,"Pueblo Libre, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-analista-bi-delpilzone-1118208902.html
Actualizado ayer,Analista de Datos/BI y Operaciones – Contact Center (Performance),Prosegur,"Surquillo, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-bi-y-operaciones--contact-center-performance-prosegur-1118428568.html
Actualizado hace más de 15 días,Analista de Planificación Académica - Analisis de datos,UNIVERSIDAD TECNOLOGICA DEL PERU,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-planificacion-academica-analisis-de-datos-universidad-tecnologica-del-peru-1118400974.html
Actualizado hace 5 días,Analista de Base de Datos de Marketing,Confidencial,"Jesús María, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-de-marketing-1118408824.html
Actualizado hace más de 15 días,Analista de Gestión en Tiempo Real y Análisis de Datos,Ampliffica Perú,"Cercado De Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gestion-en-tiempo-real-y-analisis-de-datos-ampliffica-peru-1118420642.html
Actualizado ayer,Analista Ingeniería de Datos,America Movil Peru SAC,"La Victoria, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-ingenieria-de-datos-america-movil-peru-sac-1118403418.html
Actualizado hace más de 15 días,Analista de Migración de Datos - Presencial,INDRA PERU,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-migracion-de-datos-presencial-indra-peru-1118406712.html
Actualizado hace 3 días,Analista de Ingeniería Logística - Datos,FARMACIAS PERUANAS,"La Victoria, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-ingenieria-logistica-datos-farmacias-peruanas-1118404984.html
Actualizado hace más de 15 días,Analista de Gestión de Datos,Corporación FONAFE,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gestion-de-datos-corporacion-fonafe-1118398531.html
Actualizado hace 4 días,ANALISTA SENIOR DE PROCESAMIENTO DE DATOS/EXPERIENCIA RETAIL / INGLÉS AVANZADO,Grupo Tawa,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-senior-de-procesamiento-de-datos-experiencia-retail-ingles-avanzado-grupo-tawa-1118425008.html
Actualizado hace más de 15 días,Analista de Base de Datos,Confidencial,"Santa Anita, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-1118396851.html
Actualizado hace más de 15 días,Analista de base de datos (call center ventas),TCONTAKTO SAC,"Cercado De Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-call-center-ventas-tcontakto-sac-1118410276.html
Actualizado hace más de 15 días,Analista de Datos/ Estudios de Mercado/ Inmobiliaria Corporativa,ADECCO PERU S.A.,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-estudios-de-mercado-inmobiliaria-corporativa-adecco-peru-s.a.-1118407434.html
Actualizado hace 5 días,Analista JR de datos y automatización (facturación),Prosegur,"Surquillo, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-jr-de-datos-y-automatizacion-facturacion-prosegur-1118399322.html
Actualizado hace más de 15 días,Analista de Datos y Procesos - Temporal,Universidad de Ingeniería y Tecnología - UTEC,"Barranco, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-y-procesos-temporal-universidad-de-ingenieria-y-tecnologia-utec-1118394000.html
Actualizado hace 2 días,Analista de datos y mejora contínua (Área Transformación Digital),UNIVERSIDAD NORBERT WIENER,"Jesús María, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-y-mejora-continua-area-transformacion-digital-universidad-norbert-wiener-1118404450.html
Actualizado hace más de 15 días,Analista de Administrativo/ Manejo de Bases de Datos/ Sector Educativo,Confidencial,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-administrativo-manejo-de-bases-de-datos-sector-educativo-1118398744.html
Actualizado hace más de 15 días,Analista de Datos (10mo o recién egresado),INDRA PERU,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-10mo-o-recien-egresado-indra-peru-1118385489.html
Actualizado hace más de 15 días,Analista de Conducta de Mercado - Analisis de Datos,Confidencial,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-conducta-de-mercado-analisis-de-datos-1118384457.html
Actualizado ayer,Analista de Inteligencia de Datos,PANDERO S.A. EAFC,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-inteligencia-de-datos-pandero-s.a.-eafc-1118380388.html
Actualizado hace más de 15 días,ANALISTA DE DATOS Y GESTIÓN DE DASHBOARD EN LOGÍSTICA - SECTOR MINERO,INTERNATIONAL TESTING INSPECTION &amp; CERTIFICATION PERU S.A.C. - ITIC PERU S.A.C.,"Abancay, Apurimac",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-y-gestion-de-dashboard-en-logistica-sector-minero-international-testing-inspection-amp-certification-peru-s.a.c.-itic-peru-s.a.c.-1118386114.html
Actualizado hace más de 15 días,Analista de datos y Business Intelligence,QENETO,"Trujillo, La Libertad",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-y-business-intelligence-qeneto-1118374430.html
