address,lat,lng
"Av.Alejandro Iglesias Nº451, Chorrillos",-12.1661519,-77.0236628
"Av. Vilcabamba Mz. Z Lt. 8, Chorrillos",-12.1950752,-76.987785
"Av. Andrés Tinoco 640 Urb. Monterrico Sur, Santiago de Surco",-12.1438205,-76.9832823
"Av. 12 de octubre  S/N, Chorrillos",-12.1987521,-76.99492219999999
"Calle Sandro Botiselli S/N Mz E Los Viñedos, Santiago de Surco",-12.1618815,-76.98954789999999
"Calle comercio 193 -Pasaje Abelardo Gamarra 160, San Borja",-12.0853766,-77.0011616
"AV 24 de octubre s/n Túpac Amaru de Villa, Chorrillos",-12.1970057,-76.98247359999999
"Av. Armatambo  Nro. 125, Chorrillos",-12.1784199,-77.0222376
"Av. Armatambo  Nro. 125, Chorrillos",-12.1784199,-77.0222376
"Cedros de Villa – Alameda Sur, Chorrillos",-12.2003265,-77.013577
"Calle Los Estudiantes s/n, Matellini, Chorrillos",-12.174159,-77.0060057
"Av. 12 de octubre  S/N, Chorrillos",-12.1987521,-76.99492219999999
"Jr. Las Violetas Cuadra 2, San Luis",-12.0794606,-76.998083
"Calle 19 San Genaro, Chorrillos, Chorrillos",-12.1960573,-77.02385389999999
"Jr. San Lorenzo 972, Surquillo",-12.1113459,-77.017119
"Cedros de Villa – Alameda Sur, Chorrillos",-12.2003265,-77.013577
"Av. Benavides, Miraflores",-12.1264676,-77.0165066
"Av. Miguel Grau., Chorrillos",-12.1436699,-77.0219036
"Av. Machupicchu S/N 1ra Cuadra, Chorrillos",-12.1955539,-77.0053298
"Av. Armatambo  Nro. 125, Chorrillos",-12.1784199,-77.0222376
"Av. Santa Teresa de Chorrillos s/n, Chorrillos",-12.1847684,-77.00803259999999
"Calle comercio 193 -Pasaje Abelardo Gamarra 160, San Borja",-12.0853766,-77.0011616
"Av.Chorrillos Nº528-Chorrillos, Chorrillos",-12.1628248,-77.023417
"Av. Manuel de la Fuente 506, Barranco",-12.1514717,-77.01782899999999
"Calle José María Coronel  (Jr.Colina)Nº285, Chorrillos",-12.1848841,-77.0074502
"Vidal de Laos  601, San Luis",-12.0715962,-76.9972435
"Jr. Ollanta  S/N, San Luis",-12.0620316,-77.0011191
"Plaza de la Integracion s/n Conj. Habitacional, Surquillo",-12.1077467,-77.02451649999999
"jiron talara 115, prolongacion benavides, Santiago de Surco",-12.1439112,-76.98667170000002
"Calle María del Sarto 300, San Borja",-12.0954443,-76.9947088
"Calle Monti 300-350, San Borja",-12.0965966,-76.9997341
"JR. Esteban Camere 500, Santiago de Surco",-12.1488069,-76.9901251
"Av. Santa Rosa S/N Buenos Aires de Villa., Chorrillos",-12.1876261,-77.0050131
"AV. Paul Linder cuadra 3, San Borja",-12.1076672,-77.0027313
"Av.Chorrillos s/n-Chorrillos, Chorrillos",-12.1601952,-77.02332609999999
"Av. Julio C. Tello Mz.. 9 Lote 1, Chorrillos",-12.1785109,-77.02193679999999
"Pasaje San Alberto Y San Felipe, Casas Huertas, Surquillo",-12.1153785,-77.0149477
"Mz. A Lt. 5, San Genaro, Chorrillos",-12.1906416,-77.0188546
"Eduardo Ordoñez 300 - Las Torres de Limatambo, San Borja",-12.1059335,-77.0019296
"Av. Machupicchu S/N 1ra Cuadra, Chorrillos",-12.1955539,-77.0053298
"Av.Carlos Alcorta  s/n, Chorrillos",-12.1664364,-77.0215965
"Mz. G Lot. 20-02 Las Delicias de Villa., Chorrillos",-12.1983597,-76.9902276
"Los Seibos s/n, la Capullana, Santiago de Surco",-12.1377434,-77.00165129999999
"Calle Lomas de la Cavidias Mz 2 Lt 15 Urb. Monterrico, Santiago de Surco",-12.0923402,-76.977334
"Felipe Pardo y Aliaga 200, Santiago de Surco",-12.1553252,-76.9886688
"Av. Lima 209., Barranco",-12.1488841,-77.0189328
"Calle los Laureles, Chorrillos",-12.1867107,-76.9906414
