Address,Latitude,Longitude
"LIMA, LIMA, SAN BORJA, JIRÓN JR FRANZ SCHUBERT S/N ESQUINA CON JR BOZOVICH NÚMERO S/N DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1020118,-76.9934893
"LIMA, LIMA, SAN ISIDRO, AVENIDA AV. PEREZ ARANIBAR (DEL EJÉRCITO) 1756 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1067994,-77.05500889999999
"LIMA, LIMA, SAN ISIDRO, AVENIDA AV. PEREZ ARANIBAR 1551 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1084864,-77.05352309999999
"LIMA, LIMA, SAN MIGUEL, AVENIDA AV LIBERTAD  AV LOS MOCHICAS S/N N?ERO S/N DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0814719,-77.09855209999999
"LIMA, LIMA, SAN MIGUEL, LOS SAUCES MZ B-II NOVENA ETAPA LOS SAUCES MZ B-II NOVENA ETAPA SAN MIGUEL LIMA LIMA ",-12.0616486,-77.0827394
"LIMA, LIMA, SAN MIGUEL, AVENIDA PARQUE DE LAS LEYENDAS NÚMERO 255 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0657149,-77.09456639999999
"LIMA, LIMA, SURQUILLO, JIRÓN NARCISO DE LA COLINA 840 JR. NARCISO DE LA COLINA 840 SURQUILLO LIMA LIMA ",-12.1184264,-77.0224573
"LIMA, LIMA, SURQUILLO, AVENIDA AV SAUCE MZ A1 LOTE 1 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1239516,-77.0007231
"LIMA, LIMA, SURQUILLO, AVENIDA AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA S/N AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA SURQUILLO LIMA LIMA ",-12.1088569,-77.0120429
"LIMA, LIMA, SURQUILLO, AVENIDA AV LOS HALCONES 414 URB LIMATAMBO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1044279,-77.021338
"LIMA, LIMA, JESUS MARIA, AV. ARNALDO MÁRQUEZ 1750",-12.0777608,-77.0533657
"LIMA, LIMA, JESUS MARIA, AV. ARNALDO MÁRQUEZ 1750",-12.0777608,-77.0533657
"LIMA, LIMA, SAN ISIDRO, AVENIDA AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO SAN ISIDRO LIMA LIMA ",-12.0911891,-77.0284586
"LIMA, LIMA, PUEBLO LIBRE, AVENIDA AV. PASO DE LOS ANDES 675 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.072985,-77.05918969999999
"LIMA, LIMA, CHACLACAYO, CARRETERA LAS RETAMAS 300 - CARRETERA CENTRAL KM. 23 LAS RETAMAS 300 - CARRETERA CENTRAL KM. 23 CHACLACAYO LIMA LIMA ",-11.9786226,-76.7842575
"LIMA, LIMA, CHACLACAYO, CT.7, LOTE 19-20 C. CENTRAL KM. 22.7 AAHH VIRGEN DE FATIMA CT.7, LOTE 19-20 C. CENTRAL KM. 22.7 AAHH VIRGEN DE FATIMA CHACLACAYO LIMA LIMA ",-12.0252685,-76.9193804
"LIMA, LIMA, CHACLACAYO, AVENIDA AV.ATAHUALPA Nº 373-CULTURA Y PROGRESO ÑAÑA-CHACLACAYO AV.ATAHUALPA Nº 373-CULTURA Y PROGRESO ÑAÑA-CHACLACAYO CHACLACAYO LIMA LIMA ",-11.9867093,-76.819541
