Lat,Lon,gem
-12.1848841,-77.0074502,AVENIDA AV. MATEO PUMACAHUA MZ T S/N LOTE 37 SECTOR 01 NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.186897,-77.0173341,PROLONGACIÓN AV.EL SOL S/N AA.HH.SANTA TERESA DE CHORRILLOS CHORRILLOS LIMA LIMA 
-12.18781,-77.0131073,CALLE JAUJA S/N. S/N CALLE JAUJA S/N. CHORRILLOS LIMA LIMA 
-12.7861978,-74.9764024,"AVENIDA AV. HUANCAVELICA MZ.E,LT.1 AAHH NUEVA CALEDONIA DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA "
-12.2028748,-77.012496,CALLE ISLAS GUYANAS MZ I-6 LOTE 30 URB. LOS CEDROS DE VILLA CALLE ISLAS GUYANAS MZ I-6 LOTE 30 URB. LOS CEDROS DE VILLA CHORRILLOS LIMA LIMA 
-12.1848841,-77.0074502,"AAHH DEFENSORES DE LIMA S/N, FRENTE A LA MZ D S/N AAHH DEFENSORES DE LIMA S/N, FRENTE A LA MZ D CHORRILLOS LIMA LIMA "
-12.1665613,-77.02338619999999,CALLE FERROCARRIL S/N CHORRILLOS LIMA LIMA 
-12.167852,-77.0256726,AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 CHORRILLOS LIMA LIMA 
-12.1782543,-77.004288,AVENIDA AV.GUARDIA PERUANA CUADRA 8 S/N CHORRILLOS NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1474049,-77.0061851,JIRÓN DANIEL CORNEJO 182 SANTIAGO DE SURCO LIMA LIMA 
-12.1416088,-76.9918155,JIRÓN MARISCAL SANTA CRUZ S/N AAHH SAN CARLOS S/N JR. MARISCAL SANTA CRUZ S/N AAHH SAN CARLOS SANTIAGO DE SURCO LIMA LIMA 
-12.1491478,-76.9889134,ESTEBAN CAMERE 378 - URB SAN ROQUE SN SANTIAGO DE SURCO LIMA LIMA 
-12.1632475,-76.9897776,MZ F LOTE 12 AAHH VIÑEDOS DE SURCO MZ F LOTE 12 AAHH VIÑEDOS DE SURCO SANTIAGO DE SURCO LIMA LIMA 
-6.6340676,-79.7869714,CALLE FERREÑAFE 220 - 2DA CUADRA EL POLO URB. LAS FLORES - MONTERRICO SANTIAGO DE SURCO LIMA LIMA 
-12.1648696,-76.9841534,CALLE LOS HERRERILLOS MZA F LTE 1 S/N - LAS DUNAS S/N CALLE LOS HERRERILLOS MZA F LTE 1 S/N - LAS DUNAS SANTIAGO DE SURCO LIMA LIMA 
-12.1416088,-76.9918155,"AVENIDA AV. LOS PROCERES  440/ MANUEL PERES TUDELA BLOCK ""D"" ""B"" DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA "
-12.1474049,-77.0061851,JIRÓN DANIEL CORNEJO 182 SANTIAGO DE SURCO LIMA LIMA 
-12.0923402,-76.977334,JIRÓN EL POLO 570 MONTERRICO-SANTIAGO DE SURCO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA 
