ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos,camas,casos_por_establecimiento
200302,Piura,HUANCABAMBA,CANCHAQUE,12.0,7.0,7.0,1.7142857142857142
200303,Piura,HUANCABAMBA,EL CARMEN DE LA FRONTERA,2.0,9.0,0.0,0.2222222222222222
200304,Piura,HUANCABAMBA,HUARMACA,13.0,21.0,0.0,0.6190476190476191
200305,Piura,HUANCABAMBA,LALAQUIZ,1.0,4.0,0.0,0.25
200306,Piura,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,71.0,9.0,0.0,7.888888888888889
200307,Piura,HUANCABAMBA,SONDOR,2.0,4.0,0.0,0.5
200308,Piura,HUANCABAMBA,SONDORILLO,3.0,6.0,0.0,0.5
200401,Piura,MORROPON,CHULUCANAS,4552.0,11.0,68.0,413.8181818181818
200402,Piura,MORROPON,BUENOS AIRES,360.0,5.0,0.0,72.0
200403,Piura,MORROPON,CHALACO,6.0,7.0,0.0,0.8571428571428571
200404,Piura,MORROPON,LA MATANZA,691.0,6.0,0.0,115.16666666666667
200405,Piura,MORROPON,MORROPON,933.0,5.0,8.0,186.6
200406,Piura,MORROPON,SALITRAL,1534.0,5.0,0.0,306.8
200407,Piura,MORROPON,SAN JUAN DE BIGOTE,799.0,3.0,0.0,266.3333333333333
200408,Piura,MORROPON,SANTA CATALINA DE MOSSA,7.0,5.0,0.0,1.4
200409,Piura,MORROPON,SANTO DOMINGO,4.0,5.0,0.0,0.8
200410,Piura,MORROPON,YAMANGO,5.0,7.0,0.0,0.7142857142857143
200501,Piura,PAITA,PAITA,507.0,6.0,91.0,84.5
200502,Piura,PAITA,AMOTAPE,1.0,2.0,0.0,0.5
200503,Piura,PAITA,ARENAL,1.0,1.0,0.0,1.0
200504,Piura,PAITA,COLAN,663.0,1.0,0.0,663.0
200505,Piura,PAITA,LA HUACA,197.0,4.0,0.0,49.25
200506,Piura,PAITA,TAMARINDO,2.0,1.0,0.0,2.0
200507,Piura,PAITA,VICHAYAL,26.0,3.0,0.0,8.666666666666666
200601,Piura,SULLANA,SULLANA,10989.0,12.0,204.0,915.75
200602,Piura,SULLANA,BELLAVISTA,3005.0,11.0,0.0,273.1818181818182
200603,Piura,SULLANA,IGNACIO ESCUDERO,26.0,6.0,0.0,4.333333333333333
200604,Piura,SULLANA,LANCONES,153.0,16.0,0.0,9.5625
200605,Piura,SULLANA,MARCAVELICA,1093.0,10.0,0.0,109.3
200606,Piura,SULLANA,MIGUEL CHECA,444.0,2.0,0.0,222.0
200607,Piura,SULLANA,QUERECOTILLO,446.0,8.0,0.0,55.75
200608,Piura,SULLANA,SALITRAL,307.0,2.0,0.0,153.5
200701,Piura,TALARA,PARIÑAS,3997.0,4.0,35.0,999.25
200702,Piura,TALARA,EL ALTO,506.0,3.0,0.0,168.66666666666666
200703,Piura,TALARA,LA BREA,166.0,3.0,0.0,55.333333333333336
200704,Piura,TALARA,LOBITOS,40.0,1.0,0.0,40.0
200705,Piura,TALARA,LOS ORGANOS,701.0,3.0,0.0,233.66666666666666
200706,Piura,TALARA,MANCORA,785.0,1.0,0.0,785.0
200801,Piura,SECHURA,SECHURA,526.0,8.0,0.0,65.75
200802,Piura,SECHURA,BELLAVISTA DE LA UNION,56.0,2.0,0.0,28.0
200803,Piura,SECHURA,BERNAL,76.0,1.0,0.0,76.0
200804,Piura,SECHURA,CRISTO NOS VALGA,12.0,2.0,0.0,6.0
200805,Piura,SECHURA,VICE,196.0,5.0,0.0,39.2
200806,Piura,SECHURA,RINCONADA LLICUAR,25.0,1.0,0.0,25.0
210303,Puno,CARABAYA,AYAPATA,12.0,4.0,9.0,3.0
210309,Puno,CARABAYA,SAN GABAN,72.0,5.0,0.0,14.4
220101,San Martin,MOYOBAMBA,MOYOBAMBA,757.0,23.0,30.0,32.91304347826087
220102,San Martin,MOYOBAMBA,CALZADA,13.0,2.0,0.0,6.5
220103,San Martin,MOYOBAMBA,HABANA,4.0,1.0,0.0,4.0
220104,San Martin,MOYOBAMBA,JEPELACIO,20.0,10.0,0.0,2.0
220105,San Martin,MOYOBAMBA,SORITOR,59.0,5.0,0.0,11.8
220106,San Martin,MOYOBAMBA,YANTALO,25.0,1.0,0.0,25.0
220201,San Martin,BELLAVISTA,BELLAVISTA,483.0,8.0,10.0,60.375
220202,San Martin,BELLAVISTA,ALTO BIAVO,82.0,6.0,0.0,13.666666666666666
220203,San Martin,BELLAVISTA,BAJO BIAVO,85.0,10.0,4.0,8.5
220204,San Martin,BELLAVISTA,HUALLAGA,54.0,2.0,0.0,27.0
220205,San Martin,BELLAVISTA,SAN PABLO,29.0,6.0,6.0,4.833333333333333
220206,San Martin,BELLAVISTA,SAN RAFAEL,127.0,5.0,0.0,25.4
220301,San Martin,EL DORADO,SAN JOSE DE SISA,273.0,5.0,0.0,54.6
220303,San Martin,EL DORADO,SAN MARTIN,40.0,5.0,0.0,8.0
220304,San Martin,EL DORADO,SANTA ROSA,37.0,6.0,0.0,6.166666666666667
220305,San Martin,EL DORADO,SHATOJA,13.0,2.0,0.0,6.5
220401,San Martin,HUALLAGA,SAPOSOA,134.0,11.0,17.0,12.181818181818182
220402,San Martin,HUALLAGA,ALTO SAPOSOA,26.0,3.0,0.0,8.666666666666666
220403,San Martin,HUALLAGA,EL ESLABON,14.0,2.0,0.0,7.0
220404,San Martin,HUALLAGA,PISCOYACU,11.0,2.0,0.0,5.5
220405,San Martin,HUALLAGA,SACANCHE,31.0,1.0,0.0,31.0
220406,San Martin,HUALLAGA,TINGO DE SAPOSOA,37.0,1.0,0.0,37.0
220501,San Martin,LAMAS,LAMAS,213.0,5.0,16.0,42.6
220502,San Martin,LAMAS,ALONSO DE ALVARADO,13.0,5.0,0.0,2.6
220503,San Martin,LAMAS,BARRANQUITA,97.0,7.0,0.0,13.857142857142858
220504,San Martin,LAMAS,CAYNARACHI,238.0,9.0,0.0,26.444444444444443
220505,San Martin,LAMAS,CUÑUMBUQUI,39.0,6.0,0.0,6.5
220506,San Martin,LAMAS,PINTO RECODO,29.0,8.0,0.0,3.625
220507,San Martin,LAMAS,RUMISAPA,54.0,5.0,0.0,10.8
220508,San Martin,LAMAS,SAN ROQUE DE CUMBAZA,15.0,5.0,0.0,3.0
220509,San Martin,LAMAS,SHANAO,75.0,1.0,0.0,75.0
220510,San Martin,LAMAS,TABALOSOS,132.0,4.0,4.0,33.0
220511,San Martin,LAMAS,ZAPATERO,17.0,11.0,0.0,1.5454545454545454
220601,San Martin,MARISCAL CACERES,JUANJUI,1498.0,8.0,39.0,187.25
220602,San Martin,MARISCAL CACERES,CAMPANILLA,337.0,7.0,0.0,48.142857142857146
220603,San Martin,MARISCAL CACERES,HUICUNGO,115.0,6.0,0.0,19.166666666666668
220604,San Martin,MARISCAL CACERES,PACHIZA,41.0,7.0,0.0,5.857142857142857
220605,San Martin,MARISCAL CACERES,PAJARILLO,208.0,5.0,0.0,41.6
220701,San Martin,PICOTA,PICOTA,320.0,4.0,15.0,80.0
220702,San Martin,PICOTA,BUENOS AIRES,27.0,4.0,0.0,6.75
220703,San Martin,PICOTA,CASPISAPA,50.0,1.0,0.0,50.0
220704,San Martin,PICOTA,PILLUANA,4.0,2.0,0.0,2.0
220705,San Martin,PICOTA,PUCACACA,30.0,2.0,0.0,15.0
220706,San Martin,PICOTA,SAN CRISTOBAL,24.0,1.0,0.0,24.0
220707,San Martin,PICOTA,SAN HILARION,43.0,3.0,0.0,14.333333333333334
220708,San Martin,PICOTA,SHAMBOYACU,37.0,5.0,0.0,7.4
220709,San Martin,PICOTA,TINGO DE PONASA,86.0,5.0,0.0,17.2
220710,San Martin,PICOTA,TRES UNIDOS,8.0,1.0,0.0,8.0
220801,San Martin,RIOJA,RIOJA,130.0,7.0,50.0,18.571428571428573
220802,San Martin,RIOJA,AWAJUN,3.0,4.0,0.0,0.75
220803,San Martin,RIOJA,ELIAS SOPLIN VARGAS,130.0,6.0,0.0,21.666666666666668
220804,San Martin,RIOJA,NUEVA CAJAMARCA,219.0,12.0,0.0,18.25
220805,San Martin,RIOJA,PARDO MIGUEL,6.0,8.0,0.0,0.75
220806,San Martin,RIOJA,POSIC,6.0,1.0,0.0,6.0
220807,San Martin,RIOJA,SAN FERNANDO,17.0,2.0,3.0,8.5
220808,San Martin,RIOJA,YORONGOS,3.0,2.0,0.0,1.5
220809,San Martin,RIOJA,YURACYACU,10.0,1.0,4.0,10.0
220901,San Martin,SAN MARTIN,TARAPOTO,2401.0,8.0,212.0,300.125
220902,San Martin,SAN MARTIN,ALBERTO LEVEAU,1.0,2.0,0.0,0.5
220903,San Martin,SAN MARTIN,CACATACHI,85.0,1.0,0.0,85.0
220904,San Martin,SAN MARTIN,CHAZUTA,99.0,8.0,4.0,12.375
220905,San Martin,SAN MARTIN,CHIPURANA,8.0,3.0,0.0,2.6666666666666665
220906,San Martin,SAN MARTIN,EL PORVENIR,11.0,2.0,0.0,5.5
220908,San Martin,SAN MARTIN,JUAN GUERRA,137.0,2.0,1.0,68.5
220909,San Martin,SAN MARTIN,LA BANDA DE SHILCAYO,1550.0,9.0,6.0,172.22222222222223
220910,San Martin,SAN MARTIN,MORALES,1391.0,2.0,12.0,695.5
220911,San Martin,SAN MARTIN,PAPAPLAYA,10.0,6.0,4.0,1.6666666666666667
220912,San Martin,SAN MARTIN,SAN ANTONIO,25.0,3.0,0.0,8.333333333333334
220913,San Martin,SAN MARTIN,SAUCE,57.0,2.0,4.0,28.5
220914,San Martin,SAN MARTIN,SHAPAJA,45.0,1.0,0.0,45.0
221001,San Martin,TOCACHE,TOCACHE,767.0,10.0,49.0,76.7
221002,San Martin,TOCACHE,NUEVO PROGRESO,140.0,6.0,0.0,23.333333333333332
221003,San Martin,TOCACHE,POLVORA,162.0,7.0,0.0,23.142857142857142
221004,San Martin,TOCACHE,SHUNTE,4.0,1.0,0.0,4.0
221005,San Martin,TOCACHE,UCHIZA,156.0,13.0,0.0,12.0
240101,Tumbes,TUMBES,TUMBES,7684.0,8.0,294.0,960.5
240102,Tumbes,TUMBES,CORRALES,1081.0,3.0,12.0,360.3333333333333
240103,Tumbes,TUMBES,LA CRUZ,567.0,2.0,0.0,283.5
240104,Tumbes,TUMBES,PAMPAS DE HOSPITAL,1048.0,4.0,0.0,262.0
240105,Tumbes,TUMBES,SAN JACINTO,767.0,6.0,0.0,127.83333333333333
240106,Tumbes,TUMBES,SAN JUAN DE LA VIRGEN,913.0,3.0,0.0,304.3333333333333
240201,Tumbes,CONTRALMIRANTE VILLAR,ZORRITOS,934.0,5.0,18.0,186.8
240202,Tumbes,CONTRALMIRANTE VILLAR,CASITAS,174.0,3.0,0.0,58.0
240203,Tumbes,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,850.0,3.0,0.0,283.3333333333333
240301,Tumbes,ZARUMILLA,ZARUMILLA,1428.0,2.0,20.0,714.0
240302,Tumbes,ZARUMILLA,AGUAS VERDES,1051.0,4.0,0.0,262.75
240303,Tumbes,ZARUMILLA,MATAPALO,290.0,1.0,0.0,290.0
240304,Tumbes,ZARUMILLA,PAPAYAL,905.0,5.0,0.0,181.0
250101,Ucayali,CORONEL PORTILLO,CALLERIA,6212.0,32.0,263.0,194.125
250102,Ucayali,CORONEL PORTILLO,CAMPOVERDE,259.0,24.0,0.0,10.791666666666666
250103,Ucayali,CORONEL PORTILLO,IPARIA,3.0,17.0,0.0,0.17647058823529413
250104,Ucayali,CORONEL PORTILLO,MASISEA,59.0,21.0,0.0,2.8095238095238093
250105,Ucayali,CORONEL PORTILLO,YARINACOCHA,3115.0,24.0,25.0,129.79166666666666
250106,Ucayali,CORONEL PORTILLO,NUEVA REQUENA,149.0,8.0,0.0,18.625
250107,Ucayali,CORONEL PORTILLO,MANANTAY,3249.0,13.0,0.0,249.92307692307693
250201,Ucayali,ATALAYA,RAYMONDI,870.0,16.0,0.0,54.375
250202,Ucayali,ATALAYA,SEPAHUA,87.0,4.0,0.0,21.75
250203,Ucayali,ATALAYA,TAHUANIA,88.0,6.0,0.0,14.666666666666666
250204,Ucayali,ATALAYA,YURUA,3.0,3.0,0.0,1.0
250301,Ucayali,PADRE ABAD,PADRE ABAD,754.0,15.0,0.0,50.266666666666666
250302,Ucayali,PADRE ABAD,IRAZOLA,125.0,7.0,16.0,17.857142857142858
250303,Ucayali,PADRE ABAD,CURIMANA,187.0,6.0,0.0,31.166666666666668
250304,Ucayali,PADRE ABAD,NESHUYA,45.0,8.0,0.0,5.625
250305,Ucayali,PADRE ABAD,ALEXANDER VON HUMBOLDT,8.0,2.0,0.0,4.0
250401,Ucayali,PURUS,PURUS,1.0,8.0,0.0,0.125
