ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos,camas,casos_por_establecimiento
080901,Cusco,LA CONVENCION,SANTA ANA,1146.0,7.0,128.0,163.71428571428572
080902,Cusco,LA CONVENCION,ECHARATE,258.0,20.0,0.0,12.9
080903,Cusco,LA CONVENCION,HUAYOPATA,1.0,6.0,0.0,0.16666666666666666
080904,Cusco,LA CONVENCION,MARANURA,43.0,3.0,0.0,14.333333333333334
080906,Cusco,LA CONVENCION,QUELLOUNO,74.0,8.0,0.0,9.25
080907,Cusco,LA CONVENCION,KIMBIRI,1369.0,10.0,43.0,136.9
080908,Cusco,LA CONVENCION,SANTA TERESA,2.0,3.0,0.0,0.6666666666666666
080909,Cusco,LA CONVENCION,VILCABAMBA,2.0,11.0,0.0,0.18181818181818182
080910,Cusco,LA CONVENCION,PICHARI,2781.0,10.0,0.0,278.1
080912,Cusco,LA CONVENCION,VILLA VIRGEN,33.0,0.0,0.0,
080913,Cusco,LA CONVENCION,VILLA KINTIARINA,6.0,0.0,0.0,
080914,Cusco,LA CONVENCION,MEGANTONI,87.0,16.0,0.0,5.4375
081106,Cusco,PAUCARTAMBO,KOSÑIPATA,7.0,2.0,0.0,3.5
081203,Cusco,QUISPICANCHI,CAMANTI,103.0,1.0,0.0,103.0
100101,Huanuco,HUANUCO,HUANUCO,15.0,8.0,136.0,1.875
100102,Huanuco,HUANUCO,AMARILIS,16.0,7.0,88.0,2.2857142857142856
100103,Huanuco,HUANUCO,CHINCHAO,1.0,4.0,0.0,0.25
100111,Huanuco,HUANUCO,PILLCO MARCA,8.0,1.0,0.0,8.0
100201,Huanuco,AMBO,AMBO,2.0,7.0,0.0,0.2857142857142857
100507,Huanuco,HUAMALIES,MONZON,164.0,10.0,0.0,16.4
100601,Huanuco,LEONCIO PRADO,RUPA-RUPA,3296.0,3.0,19.0,1098.6666666666667
100602,Huanuco,LEONCIO PRADO,DANIEL ALOMIA ROBLES,55.0,4.0,0.0,13.75
100603,Huanuco,LEONCIO PRADO,HERMILIO VALDIZAN,10.0,6.0,0.0,1.6666666666666667
100604,Huanuco,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,285.0,6.0,0.0,47.5
100605,Huanuco,LEONCIO PRADO,LUYANDO,277.0,7.0,75.0,39.57142857142857
100606,Huanuco,LEONCIO PRADO,MARIANO DAMASO BERAUN,125.0,5.0,0.0,25.0
100608,Huanuco,LEONCIO PRADO,CASTILLO GRANDE,562.0,1.0,0.0,562.0
100609,Huanuco,LEONCIO PRADO,PUEBLO NUEVO,22.0,1.0,0.0,22.0
100702,Huanuco,MARAÑON,CHOLON,7.0,5.0,0.0,1.4
100704,Huanuco,MARAÑON,LA MORADA,28.0,1.0,0.0,28.0
100801,Huanuco,PACHITEA,PANAO,1.0,5.0,0.0,0.2
100802,Huanuco,PACHITEA,CHAGLLA,4.0,4.0,0.0,1.0
100901,Huanuco,PUERTO INCA,PUERTO INCA,554.0,10.0,0.0,55.4
100902,Huanuco,PUERTO INCA,CODO DEL POZUZO,49.0,8.0,0.0,6.125
100903,Huanuco,PUERTO INCA,HONORIA,56.0,6.0,0.0,9.333333333333334
100904,Huanuco,PUERTO INCA,TOURNAVISTA,56.0,4.0,0.0,14.0
100905,Huanuco,PUERTO INCA,YUYAPICHIS,102.0,6.0,0.0,17.0
110101,Ica,ICA,ICA,4291.0,11.0,326.0,390.09090909090907
110102,Ica,ICA,LA TINGUIÑA,1111.0,3.0,0.0,370.3333333333333
110103,Ica,ICA,LOS AQUIJES,545.0,5.0,3.0,109.0
110104,Ica,ICA,OCUCAJE,91.0,4.0,0.0,22.75
110105,Ica,ICA,PACHACUTEC,251.0,2.0,0.0,125.5
110106,Ica,ICA,PARCONA,1341.0,3.0,6.0,447.0
110107,Ica,ICA,PUEBLO NUEVO,150.0,4.0,0.0,37.5
110108,Ica,ICA,SALAS,273.0,4.0,3.0,68.25
110109,Ica,ICA,SAN JOSE DE LOS MOLINOS,206.0,4.0,0.0,51.5
110110,Ica,ICA,SAN JUAN BAUTISTA,154.0,3.0,0.0,51.333333333333336
110111,Ica,ICA,SANTIAGO,165.0,5.0,4.0,33.0
110112,Ica,ICA,SUBTANJALLA,1131.0,6.0,0.0,188.5
110113,Ica,ICA,TATE,109.0,4.0,0.0,27.25
110201,Ica,CHINCHA,CHINCHA ALTA,457.0,5.0,181.0,91.4
110202,Ica,CHINCHA,ALTO LARAN,25.0,3.0,0.0,8.333333333333334
110204,Ica,CHINCHA,CHINCHA BAJA,16.0,3.0,0.0,5.333333333333333
110205,Ica,CHINCHA,EL CARMEN,28.0,4.0,0.0,7.0
110206,Ica,CHINCHA,GROCIO PRADO,245.0,3.0,0.0,81.66666666666667
110207,Ica,CHINCHA,PUEBLO NUEVO,400.0,5.0,8.0,80.0
110210,Ica,CHINCHA,SUNAMPE,140.0,1.0,0.0,140.0
110211,Ica,CHINCHA,TAMBO DE MORA,9.0,2.0,0.0,4.5
110301,Ica,NASCA,NASCA,1047.0,4.0,19.0,261.75
110302,Ica,NASCA,CHANGUILLO,20.0,4.0,0.0,5.0
110303,Ica,NASCA,EL INGENIO,20.0,3.0,0.0,6.666666666666667
110304,Ica,NASCA,MARCONA,9.0,3.0,11.0,3.0
110305,Ica,NASCA,VISTA ALEGRE,917.0,5.0,0.0,183.4
110401,Ica,PALPA,PALPA,949.0,6.0,22.0,158.16666666666666
110402,Ica,PALPA,LLIPATA,262.0,1.0,0.0,262.0
110403,Ica,PALPA,RIO GRANDE,191.0,4.0,0.0,47.75
110404,Ica,PALPA,SANTA CRUZ,23.0,3.0,0.0,7.666666666666667
110501,Ica,PISCO,PISCO,412.0,5.0,145.0,82.4
110503,Ica,PISCO,HUMAY,11.0,4.0,0.0,2.75
110504,Ica,PISCO,INDEPENDENCIA,18.0,6.0,0.0,3.0
110505,Ica,PISCO,PARACAS,60.0,3.0,0.0,20.0
110506,Ica,PISCO,SAN ANDRES,74.0,2.0,0.0,37.0
110507,Ica,PISCO,SAN CLEMENTE,790.0,3.0,0.0,263.3333333333333
110508,Ica,PISCO,TUPAC AMARU INCA,647.0,3.0,0.0,215.66666666666666
120114,Junin,HUANCAYO,EL TAMBO,1.0,20.0,268.0,0.05
120301,Junin,CHANCHAMAYO,CHANCHAMAYO,1248.0,5.0,114.0,249.6
120302,Junin,CHANCHAMAYO,PERENE,2125.0,27.0,9.0,78.70370370370371
120303,Junin,CHANCHAMAYO,PICHANAQUI,1254.0,20.0,43.0,62.7
120305,Junin,CHANCHAMAYO,SAN RAMON,928.0,4.0,0.0,232.0
120501,Junin,JUNIN,JUNIN,2.0,4.0,50.0,0.5
120601,Junin,SATIPO,SATIPO,1516.0,11.0,18.0,137.8181818181818
120602,Junin,SATIPO,COVIRIALI,68.0,6.0,0.0,11.333333333333334
120604,Junin,SATIPO,MAZAMARI,687.0,8.0,0.0,85.875
120606,Junin,SATIPO,PANGOA,1276.0,39.0,18.0,32.717948717948715
120607,Junin,SATIPO,RIO NEGRO,453.0,16.0,0.0,28.3125
120608,Junin,SATIPO,RIO TAMBO,257.0,24.0,0.0,10.708333333333334
120609,Junin,SATIPO,VIZCATAN DEL ENE,26.0,0.0,0.0,
130101,La Libertad,TRUJILLO,TRUJILLO,356.0,22.0,844.0,16.181818181818183
130102,La Libertad,TRUJILLO,EL PORVENIR,2849.0,13.0,26.0,219.15384615384616
130103,La Libertad,TRUJILLO,FLORENCIA DE MORA,747.0,6.0,26.0,124.5
130104,La Libertad,TRUJILLO,HUANCHACO,393.0,8.0,0.0,49.125
130105,La Libertad,TRUJILLO,LA ESPERANZA,1186.0,9.0,29.0,131.77777777777777
130106,La Libertad,TRUJILLO,LAREDO,1897.0,4.0,10.0,474.25
130107,La Libertad,TRUJILLO,MOCHE,225.0,7.0,21.0,32.142857142857146
130109,La Libertad,TRUJILLO,SALAVERRY,63.0,3.0,0.0,21.0
130111,La Libertad,TRUJILLO,VICTOR LARCO HERRERA,6.0,6.0,14.0,1.0
130201,La Libertad,ASCOPE,ASCOPE,240.0,2.0,9.0,120.0
130202,La Libertad,ASCOPE,CHICAMA,109.0,4.0,9.0,27.25
130203,La Libertad,ASCOPE,CHOCOPE,70.0,3.0,74.0,23.333333333333332
130205,La Libertad,ASCOPE,PAIJAN,1290.0,3.0,0.0,430.0
130207,La Libertad,ASCOPE,SANTIAGO DE CAO,1.0,4.0,0.0,0.25
130208,La Libertad,ASCOPE,CASA GRANDE,1266.0,4.0,13.0,316.5
130401,La Libertad,CHEPEN,CHEPEN,2054.0,3.0,123.0,684.6666666666666
130402,La Libertad,CHEPEN,PACANGA,106.0,2.0,0.0,53.0
130403,La Libertad,CHEPEN,PUEBLO NUEVO,2.0,3.0,0.0,0.6666666666666666
130701,La Libertad,PACASMAYO,SAN PEDRO DE LLOC,51.0,4.0,19.0,12.75
130702,La Libertad,PACASMAYO,GUADALUPE,158.0,6.0,12.0,26.333333333333332
130703,La Libertad,PACASMAYO,JEQUETEPEQUE,1.0,2.0,4.0,0.5
130704,La Libertad,PACASMAYO,PACASMAYO,8.0,2.0,20.0,4.0
130705,La Libertad,PACASMAYO,SAN JOSE,3.0,3.0,2.0,1.0
130809,La Libertad,PATAZ,PATAZ,189.0,4.0,0.0,47.25
131101,La Libertad,GRAN CHIMU,CASCAS,10.0,5.0,12.0,2.0
131201,La Libertad,VIRU,VIRU,361.0,12.0,24.0,30.083333333333332
131202,La Libertad,VIRU,CHAO,200.0,7.0,4.0,28.571428571428573
131203,La Libertad,VIRU,GUADALUPITO,3.0,1.0,0.0,3.0
140101,Lambayeque,CHICLAYO,CHICLAYO,448.0,15.0,781.0,29.866666666666667
140102,Lambayeque,CHICLAYO,CHONGOYAPE,18.0,4.0,8.0,4.5
140105,Lambayeque,CHICLAYO,JOSE LEONARDO ORTIZ,119.0,7.0,16.0,17.0
140106,Lambayeque,CHICLAYO,LA VICTORIA,182.0,6.0,6.0,30.333333333333332
140107,Lambayeque,CHICLAYO,LAGUNAS,1.0,6.0,0.0,0.16666666666666666
140108,Lambayeque,CHICLAYO,MONSEFU,12.0,4.0,0.0,3.0
140110,Lambayeque,CHICLAYO,OYOTUN,3.0,5.0,0.0,0.6
140111,Lambayeque,CHICLAYO,PICSI,1.0,2.0,0.0,0.5
140112,Lambayeque,CHICLAYO,PIMENTEL,16.0,3.0,117.0,5.333333333333333
140113,Lambayeque,CHICLAYO,REQUE,13.0,3.0,0.0,4.333333333333333
140115,Lambayeque,CHICLAYO,SAÑA,233.0,5.0,0.0,46.6
140116,Lambayeque,CHICLAYO,CAYALTI,74.0,3.0,0.0,24.666666666666668
140117,Lambayeque,CHICLAYO,PATAPO,458.0,3.0,0.0,152.66666666666666
140118,Lambayeque,CHICLAYO,POMALCA,27.0,3.0,0.0,9.0
140119,Lambayeque,CHICLAYO,PUCALA,384.0,1.0,0.0,384.0
140120,Lambayeque,CHICLAYO,TUMAN,1464.0,1.0,0.0,1464.0
140201,Lambayeque,FERREÑAFE,FERREÑAFE,652.0,2.0,40.0,326.0
140204,Lambayeque,FERREÑAFE,MANUEL ANTONIO MESONES MURO,1.0,1.0,0.0,1.0
140205,Lambayeque,FERREÑAFE,PITIPO,317.0,10.0,0.0,31.7
140206,Lambayeque,FERREÑAFE,PUEBLO NUEVO,20.0,3.0,17.0,6.666666666666667
140301,Lambayeque,LAMBAYEQUE,LAMBAYEQUE,14.0,6.0,6.0,2.3333333333333335
140302,Lambayeque,LAMBAYEQUE,CHOCHOPE,2.0,1.0,0.0,2.0
140303,Lambayeque,LAMBAYEQUE,ILLIMO,152.0,3.0,0.0,50.666666666666664
140304,Lambayeque,LAMBAYEQUE,JAYANCA,133.0,3.0,0.0,44.333333333333336
140305,Lambayeque,LAMBAYEQUE,MOCHUMI,51.0,4.0,0.0,12.75
140306,Lambayeque,LAMBAYEQUE,MORROPE,7.0,21.0,6.0,0.3333333333333333
140307,Lambayeque,LAMBAYEQUE,MOTUPE,780.0,6.0,0.0,130.0
140308,Lambayeque,LAMBAYEQUE,OLMOS,843.0,20.0,0.0,42.15
140309,Lambayeque,LAMBAYEQUE,PACORA,7.0,2.0,0.0,3.5
140310,Lambayeque,LAMBAYEQUE,SALAS,72.0,10.0,0.0,7.2
140311,Lambayeque,LAMBAYEQUE,SAN JOSE,1.0,4.0,0.0,0.25
140312,Lambayeque,LAMBAYEQUE,TUCUME,5.0,7.0,0.0,0.7142857142857143
150101,Lima,LIMA,LIMA,139.0,24.0,2364.0,5.791666666666667
150103,Lima,LIMA,ATE,119.0,22.0,236.0,5.409090909090909
150106,Lima,LIMA,CARABAYLLO,76.0,13.0,0.0,5.846153846153846
150108,Lima,LIMA,CHORRILLOS,12.0,19.0,36.0,0.631578947368421
150110,Lima,LIMA,COMAS,509.0,26.0,459.0,19.576923076923077
150111,Lima,LIMA,EL AGUSTINO,1.0,12.0,637.0,0.08333333333333333
150112,Lima,LIMA,INDEPENDENCIA,40.0,12.0,0.0,3.3333333333333335
150115,Lima,LIMA,LA VICTORIA,4.0,9.0,983.0,0.4444444444444444
150117,Lima,LIMA,LOS OLIVOS,15.0,11.0,0.0,1.3636363636363635
150118,Lima,LIMA,LURIGANCHO,625.0,23.0,70.0,27.17391304347826
150121,Lima,LIMA,PUEBLO LIBRE,1.0,1.0,193.0,1.0
150124,Lima,LIMA,PUCUSANA,5.0,2.0,0.0,2.5
150125,Lima,LIMA,PUENTE PIEDRA,211.0,10.0,102.0,21.1
150127,Lima,LIMA,PUNTA NEGRA,0.0,1.0,0.0,0.0
150128,Lima,LIMA,RIMAC,3.0,10.0,0.0,0.3
150131,Lima,LIMA,SAN ISIDRO,2.0,4.0,0.0,0.5
150132,Lima,LIMA,SAN JUAN DE LURIGANCHO,56.0,36.0,204.0,1.5555555555555556
150133,Lima,LIMA,SAN JUAN DE MIRAFLORES,9.0,27.0,374.0,0.3333333333333333
