Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2018,5,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,5,Dengue,UCAYALI,SEPAHUA,ATALAYA,250202,0
2018,5,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,5,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,5,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,5,Dengue,UCAYALI,CURIMANA,PADRE ABAD,250303,0
2018,5,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,6,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,6,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,6,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,6,Dengue,UCAYALI,SEPAHUA,ATALAYA,250202,0
2018,6,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,6,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,6,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,6,Dengue,UCAYALI,CURIMANA,PADRE ABAD,250303,0
2018,6,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,7,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,7,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,7,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,7,Dengue,UCAYALI,SEPAHUA,ATALAYA,250202,0
2018,7,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,7,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,7,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,7,Dengue,UCAYALI,CURIMANA,PADRE ABAD,250303,0
2018,7,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,8,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,8,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,8,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,8,Dengue,UCAYALI,SEPAHUA,ATALAYA,250202,0
2018,8,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,8,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
