Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2020,47,Dengue,LORETO,TENIENTE MANUEL CLAVERO,PUTUMAYO,160803,0
2020,48,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,48,Dengue,LORETO,NAPO,MAYNAS,160107,0
2020,48,Dengue,LORETO,TENIENTE MANUEL CLAVERO,PUTUMAYO,160803,0
2020,49,Dengue,LORETO,YAVARI,MARISCAL RAMON CASTILLA,160403,0
2020,49,Dengue,LORETO,PEBAS,MARISCAL RAMON CASTILLA,160402,0
2020,49,Dengue,LORETO,NAPO,MAYNAS,160107,0
2018,33,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,33,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,34,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,34,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,34,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,34,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,34,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,35,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,35,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,35,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,35,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,35,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,36,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,36,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,36,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,36,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,36,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,37,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,37,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
