anio,poblacion,gasto_salud_pc,pct_rural
2015,30457600,310.60983276,19.301722337331
2016,30866494,311.33517456,18.5807637758057
2017,31324637,332.54321289,17.8068349497597
2018,31897584,362.75994873,17.3145070039079
2019,32449303,367.98739624,16.8966996912895
2020,32838579,399.13800049,16.4732562810363
2021,33155882,455.3560791,16.0519881727639
