,idx,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic
367,367.0,14378.0,14398.0,14371.0,101.0,101.0,101.0
368,368.0,6371.0,6371.0,6371.0,52.8,52.8,52.8
369,369.0,239.0,229.0,218.0,2.7,2.7,2.7
370,370.0,313.0,324.0,300.0,2.3,2.3,2.3
371,371.0,501.0,501.0,501.0,2.6,2.6,2.6
372,372.0,834.0,853.0,829.0,5.0,5.0,5.0
373,373.0,857.0,858.0,858.0,5.4,5.4,5.4
374,374.0,5.0,5.0,5.0,27.0,27.0,27.0
375,375.0,614.0,618.0,618.0,2.8,2.8,2.8
376,376.0,611.0,614.0,610.0,3.2,3.2,3.2
377,377.0,473.0,473.0,473.0,2.4,2.4,2.4
378,378.0,439.0,439.0,439.0,2.2,2.2,2.2
379,379.0,439.0,439.0,439.0,2.2,2.2,2.2
380,380.0,3833.0,3833.0,3833.0,26.7,26.7,26.7
381,381.0,1160.0,1160.0,1160.0,7.7,7.7,7.7
382,382.0,3463.0,3463.0,3463.0,23.2,23.2,23.2
383,383.0,5610.0,5610.0,5610.0,39.0,39.0,39.0
384,384.0,6786.0,6796.0,6795.0,51.2,51.2,51.2
385,385.0,9887.0,9898.0,9897.0,74.2,74.2,74.2
386,386.0,,,,,,
387,387.0,5554.0,5554.0,5554.0,38.3,38.3,38.3
388,388.0,2978.0,2978.0,2978.0,21.0,21.0,21.0
389,389.0,664.0,664.0,664.0,4.3,4.3,4.3
390,390.0,2300.0,2295.0,2295.0,14.9,14.9,14.9
391,391.0,1065.0,1065.0,1065.0,7.0,7.0,7.0
392,392.0,1979.0,1977.0,1953.0,15.3,15.3,15.3
393,393.0,3447.0,3477.0,3476.0,30.6,30.6,30.6
394,394.0,1461.0,1461.0,1461.0,9.5,9.5,9.5
395,395.0,0.0,0.0,0.0,1.0,1.0,1.0
396,396.0,8957.0,8957.0,8957.0,51.1,51.1,51.1
397,397.0,8038.0,8038.0,8038.0,45.1,45.1,45.1
398,398.0,5804.0,5804.0,5804.0,26.0,26.0,26.0
399,399.0,6925.0,6925.0,6925.0,51.8,51.8,51.8
400,400.0,7557.0,7557.0,7557.0,42.2,42.2,42.2
401,401.0,323.0,323.0,323.0,2.3,2.3,2.3
402,402.0,2316.0,2316.0,2316.0,16.5,16.5,16.5
403,403.0,235.0,235.0,235.0,1.5,1.5,1.5
404,404.0,952.0,952.0,952.0,5.9,5.9,5.9
405,405.0,1507.0,1474.0,1474.0,9.8,9.8,9.8
406,406.0,3006.0,2997.0,2997.0,18.6,18.6,18.6
407,407.0,2135.0,2058.0,2058.0,16.4,16.4,16.4
408,408.0,848.0,,841.0,6.3,,6.3
409,409.0,2461.0,2461.0,2461.0,14.8,14.8,14.8
410,410.0,4717.0,4717.0,4717.0,30.0,30.0,30.0
411,411.0,2298.0,2313.0,2269.0,24.2,24.2,24.2
412,412.0,3320.0,3320.0,3320.0,22.5,22.5,22.5
413,413.0,,,,,,
414,414.0,350.0,334.0,334.0,2.6,2.6,2.6
415,415.0,8006.0,8006.0,8006.0,68.2,68.2,68.2
416,416.0,11569.0,11628.0,11490.0,126.0,126.0,126.0
417,417.0,3738.0,3738.0,3738.0,26.9,26.9,26.9
418,418.0,4980.0,4972.0,4972.0,34.0,34.0,34.0
419,419.0,4831.0,4751.0,4751.0,34.0,34.0,34.0
420,420.0,376.0,376.0,376.0,2.3,2.3,2.3
421,421.0,3735.0,3735.0,3735.0,26.7,26.7,26.7
422,422.0,164.0,164.0,164.0,1.0,1.0,1.0
423,423.0,4727.0,4719.0,4719.0,33.0,33.0,33.0
424,424.0,3693.0,3693.0,3693.0,26.5,26.5,26.5
425,425.0,1480.0,1480.0,1480.0,9.8,9.8,9.8
426,426.0,3706.0,3706.0,3706.0,26.6,26.6,26.6
427,427.0,246.0,246.0,246.0,2.1,2.1,2.1
428,428.0,974.0,971.0,971.0,7.3,7.3,7.3
429,429.0,0.0,0.0,0.0,1.0,1.0,1.0
430,430.0,10288.0,10283.0,10194.0,86.2,86.2,86.2
431,431.0,1547.0,1509.0,1509.0,11.3,11.3,11.3
432,432.0,2631.0,2609.0,2609.0,19.6,19.6,19.6
433,433.0,,,,,,
434,434.0,11272.0,11680.0,11027.0,121.0,121.0,121.0
435,435.0,1432.0,1396.0,1396.0,10.9,10.9,10.9
436,436.0,4015.0,3988.0,3988.0,27.5,27.5,27.5
437,437.0,2732.0,2732.0,2732.0,20.7,20.7,20.7
438,438.0,1521.0,1521.0,1521.0,12.2,12.2,12.2
439,439.0,,,,,,
440,440.0,2555.0,2555.0,2555.0,15.5,15.5,15.5
441,441.0,218.0,218.0,218.0,1.3,1.3,1.3
442,442.0,730.0,730.0,730.0,5.3,5.3,5.3
443,443.0,74.0,74.0,74.0,0.3,0.3,0.3
444,444.0,746.0,746.0,746.0,5.4,5.4,5.4
445,445.0,1526.0,1526.0,1526.0,16.2,16.2,16.2
446,446.0,1663.0,1663.0,1663.0,10.9,10.9,10.9
447,447.0,2614.0,2614.0,2614.0,16.3,16.3,16.3
448,448.0,2973.0,2971.0,2971.0,21.0,21.0,21.0
449,449.0,477.0,477.0,477.0,3.7,3.7,3.7
450,450.0,745.0,745.0,745.0,5.6,5.6,5.6
451,451.0,1293.0,1265.0,1265.0,9.1,9.1,9.1
452,452.0,2271.0,2265.0,2265.0,16.8,16.8,16.8
453,453.0,0.0,0.0,0.0,1.0,1.0,1.0
454,454.0,3011.0,2979.0,2979.0,22.4,22.4,22.4
455,455.0,2064.0,2064.0,2064.0,14.8,14.8,14.8
456,456.0,625.0,625.0,625.0,5.0,5.0,5.0
457,457.0,1803.0,1803.0,1803.0,12.5,12.5,12.5
458,458.0,977.0,977.0,977.0,8.6,8.6,8.6
459,459.0,1965.0,1965.0,1965.0,13.6,13.6,13.6
460,460.0,161.0,161.0,161.0,3.1,3.1,3.1
461,461.0,2628.0,2628.0,2628.0,18.1,18.1,18.1
462,462.0,1748.0,1748.0,1748.0,9.1,9.1,9.1
463,463.0,1935.0,1935.0,1935.0,10.0,10.0,10.0
464,464.0,103.0,103.0,103.0,0.5,0.5,0.5
465,465.0,,3494.0,3494.0,,26.5,26.5
466,466.0,2925.0,2925.0,2925.0,21.2,21.2,21.2
467,467.0,1707.0,1707.0,1707.0,9.1,9.1,9.1
468,468.0,3051.0,3051.0,3051.0,24.3,24.3,24.3
469,469.0,4077.0,4077.0,4077.0,29.8,29.8,29.8
470,470.0,330.0,330.0,330.0,3.1,3.1,3.1
471,471.0,458.0,458.0,458.0,3.2,3.2,3.2
472,472.0,0.0,0.0,0.0,1.0,1.0,1.0
473,473.0,225.0,225.0,225.0,1.1,1.1,1.1
474,474.0,1827.0,1894.0,1707.0,23.5,23.5,23.5
475,475.0,2828.0,2936.0,2662.0,35.2,35.2,35.2
476,476.0,1549.0,1598.0,1471.0,19.2,19.2,19.2
477,477.0,176.0,176.0,176.0,1.0,1.0,1.0
478,478.0,1110.0,1110.0,1110.0,8.9,8.9,8.9
479,479.0,2137.0,2137.0,2137.0,16.8,16.8,16.8
