ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
DEMOCRACIA DIRECTA,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
ALIANZA PARA EL PROGRESO,33,14.043%,10.280%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO NACIONALISTA PERUANO,41,7.093%,4.530%,AMAZONAS,BONGARA,SHIPASBAMBA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,0.865%,0.552%,AMAZONAS,BONGARA,SHIPASBAMBA
PARTIDO MORADO,6,1.038%,0.663%,AMAZONAS,BONGARA,SHIPASBAMBA
PERU PATRIA SEGURA,1,0.173%,0.110%,AMAZONAS,BONGARA,SHIPASBAMBA
VICTORIA NACIONAL,20,3.460%,2.210%,AMAZONAS,BONGARA,SHIPASBAMBA
ACCION POPULAR,52,8.997%,5.746%,AMAZONAS,BONGARA,SHIPASBAMBA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,23,3.979%,2.541%,AMAZONAS,BONGARA,SHIPASBAMBA
PODEMOS PERU,23,3.979%,2.541%,AMAZONAS,BONGARA,SHIPASBAMBA
JUNTOS POR EL PERU,56,9.689%,6.188%,AMAZONAS,BONGARA,SHIPASBAMBA
PARTIDO POPULAR CRISTIANO - PPC,2,0.346%,0.221%,AMAZONAS,BONGARA,SHIPASBAMBA
FUERZA POPULAR,74,12.803%,8.177%,AMAZONAS,BONGARA,SHIPASBAMBA
UNION POR EL PERU,10,1.730%,1.105%,AMAZONAS,BONGARA,SHIPASBAMBA
RENOVACION POPULAR,24,4.152%,2.652%,AMAZONAS,BONGARA,SHIPASBAMBA
RENACIMIENTO UNIDO NACIONAL,2,0.346%,0.221%,AMAZONAS,BONGARA,SHIPASBAMBA
PARTIDO DEMOCRATICO SOMOS PERU,6,1.038%,0.663%,AMAZONAS,BONGARA,SHIPASBAMBA
PARTIDO POLITICO NACIONAL PERU LIBRE,205,35.467%,22.652%,AMAZONAS,BONGARA,SHIPASBAMBA
DEMOCRACIA DIRECTA,2,0.346%,0.221%,AMAZONAS,BONGARA,SHIPASBAMBA
ALIANZA PARA EL PROGRESO,26,4.498%,2.873%,AMAZONAS,BONGARA,SHIPASBAMBA
PARTIDO NACIONALISTA PERUANO,33,7.383%,5.455%,AMAZONAS,BONGARA,VALERA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,0.895%,0.661%,AMAZONAS,BONGARA,VALERA
PARTIDO MORADO,10,2.237%,1.653%,AMAZONAS,BONGARA,VALERA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,BONGARA,VALERA
VICTORIA NACIONAL,17,3.803%,2.810%,AMAZONAS,BONGARA,VALERA
ACCION POPULAR,34,7.606%,5.620%,AMAZONAS,BONGARA,VALERA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,2.237%,1.653%,AMAZONAS,BONGARA,VALERA
PODEMOS PERU,14,3.132%,2.314%,AMAZONAS,BONGARA,VALERA
JUNTOS POR EL PERU,56,12.528%,9.256%,AMAZONAS,BONGARA,VALERA
PARTIDO POPULAR CRISTIANO - PPC,1,0.224%,0.165%,AMAZONAS,BONGARA,VALERA
FUERZA POPULAR,119,26.622%,19.669%,AMAZONAS,BONGARA,VALERA
UNION POR EL PERU,2,0.447%,0.331%,AMAZONAS,BONGARA,VALERA
RENOVACION POPULAR,34,7.606%,5.620%,AMAZONAS,BONGARA,VALERA
RENACIMIENTO UNIDO NACIONAL,4,0.895%,0.661%,AMAZONAS,BONGARA,VALERA
PARTIDO DEMOCRATICO SOMOS PERU,3,0.671%,0.496%,AMAZONAS,BONGARA,VALERA
PARTIDO POLITICO NACIONAL PERU LIBRE,59,13.199%,9.752%,AMAZONAS,BONGARA,VALERA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,VALERA
ALIANZA PARA EL PROGRESO,47,10.515%,7.769%,AMAZONAS,BONGARA,VALERA
PARTIDO NACIONALISTA PERUANO,41,2.142%,1.543%,AMAZONAS,BONGARA,YAMBRASBAMBA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",17,0.888%,0.640%,AMAZONAS,BONGARA,YAMBRASBAMBA
PARTIDO MORADO,20,1.045%,0.752%,AMAZONAS,BONGARA,YAMBRASBAMBA
PERU PATRIA SEGURA,7,0.366%,0.263%,AMAZONAS,BONGARA,YAMBRASBAMBA
VICTORIA NACIONAL,44,2.299%,1.655%,AMAZONAS,BONGARA,YAMBRASBAMBA
ACCION POPULAR,198,10.345%,7.449%,AMAZONAS,BONGARA,YAMBRASBAMBA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,52,2.717%,1.956%,AMAZONAS,BONGARA,YAMBRASBAMBA
PODEMOS PERU,22,1.149%,0.828%,AMAZONAS,BONGARA,YAMBRASBAMBA
JUNTOS POR EL PERU,95,4.963%,3.574%,AMAZONAS,BONGARA,YAMBRASBAMBA
PARTIDO POPULAR CRISTIANO - PPC,1,0.052%,0.038%,AMAZONAS,BONGARA,YAMBRASBAMBA
FUERZA POPULAR,307,16.040%,11.550%,AMAZONAS,BONGARA,YAMBRASBAMBA
UNION POR EL PERU,28,1.463%,1.053%,AMAZONAS,BONGARA,YAMBRASBAMBA
RENOVACION POPULAR,97,5.068%,3.649%,AMAZONAS,BONGARA,YAMBRASBAMBA
RENACIMIENTO UNIDO NACIONAL,9,0.470%,0.339%,AMAZONAS,BONGARA,YAMBRASBAMBA
PARTIDO DEMOCRATICO SOMOS PERU,22,1.149%,0.828%,AMAZONAS,BONGARA,YAMBRASBAMBA
PARTIDO POLITICO NACIONAL PERU LIBRE,842,43.992%,31.678%,AMAZONAS,BONGARA,YAMBRASBAMBA
DEMOCRACIA DIRECTA,2,0.104%,0.075%,AMAZONAS,BONGARA,YAMBRASBAMBA
ALIANZA PARA EL PROGRESO,110,5.747%,4.138%,AMAZONAS,BONGARA,YAMBRASBAMBA
PARTIDO NACIONALISTA PERUANO,160,8.899%,6.077%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",45,2.503%,1.709%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PARTIDO MORADO,21,1.168%,0.798%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PERU PATRIA SEGURA,6,0.334%,0.228%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
VICTORIA NACIONAL,56,3.115%,2.127%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
ACCION POPULAR,168,9.344%,6.381%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,36,2.002%,1.367%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PODEMOS PERU,38,2.113%,1.443%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
JUNTOS POR EL PERU,287,15.962%,10.900%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PARTIDO POPULAR CRISTIANO - PPC,6,0.334%,0.228%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
FUERZA POPULAR,107,5.951%,4.064%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
UNION POR EL PERU,15,0.834%,0.570%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
RENOVACION POPULAR,75,4.171%,2.848%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
RENACIMIENTO UNIDO NACIONAL,15,0.834%,0.570%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PARTIDO DEMOCRATICO SOMOS PERU,26,1.446%,0.987%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PARTIDO POLITICO NACIONAL PERU LIBRE,564,31.368%,21.420%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
ALIANZA PARA EL PROGRESO,173,9.622%,6.570%,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PARTIDO NACIONALISTA PERUANO,160,8.899%,6.077%,AMAZONAS,CHACHAPOYAS,LEVANTO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",45,2.503%,1.709%,AMAZONAS,CHACHAPOYAS,LEVANTO
PARTIDO MORADO,21,1.168%,0.798%,AMAZONAS,CHACHAPOYAS,LEVANTO
PERU PATRIA SEGURA,6,0.334%,0.228%,AMAZONAS,CHACHAPOYAS,LEVANTO
VICTORIA NACIONAL,56,3.115%,2.127%,AMAZONAS,CHACHAPOYAS,LEVANTO
ACCION POPULAR,168,9.344%,6.381%,AMAZONAS,CHACHAPOYAS,LEVANTO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,36,2.002%,1.367%,AMAZONAS,CHACHAPOYAS,LEVANTO
PODEMOS PERU,38,2.113%,1.443%,AMAZONAS,CHACHAPOYAS,LEVANTO
JUNTOS POR EL PERU,287,15.962%,10.900%,AMAZONAS,CHACHAPOYAS,LEVANTO
PARTIDO POPULAR CRISTIANO - PPC,6,0.334%,0.228%,AMAZONAS,CHACHAPOYAS,LEVANTO
FUERZA POPULAR,107,5.951%,4.064%,AMAZONAS,CHACHAPOYAS,LEVANTO
UNION POR EL PERU,15,0.834%,0.570%,AMAZONAS,CHACHAPOYAS,LEVANTO
RENOVACION POPULAR,75,4.171%,2.848%,AMAZONAS,CHACHAPOYAS,LEVANTO
RENACIMIENTO UNIDO NACIONAL,15,0.834%,0.570%,AMAZONAS,CHACHAPOYAS,LEVANTO
PARTIDO DEMOCRATICO SOMOS PERU,26,1.446%,0.987%,AMAZONAS,CHACHAPOYAS,LEVANTO
PARTIDO POLITICO NACIONAL PERU LIBRE,564,31.368%,21.420%,AMAZONAS,CHACHAPOYAS,LEVANTO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,LEVANTO
ALIANZA PARA EL PROGRESO,173,9.622%,6.570%,AMAZONAS,CHACHAPOYAS,LEVANTO
PARTIDO NACIONALISTA PERUANO,24,4.868%,3.840%,AMAZONAS,CHACHAPOYAS,MAGDALENA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",7,1.420%,1.120%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PARTIDO MORADO,8,1.623%,1.280%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MAGDALENA
VICTORIA NACIONAL,15,3.043%,2.400%,AMAZONAS,CHACHAPOYAS,MAGDALENA
ACCION POPULAR,33,6.694%,5.280%,AMAZONAS,CHACHAPOYAS,MAGDALENA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,30,6.085%,4.800%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PODEMOS PERU,13,2.637%,2.080%,AMAZONAS,CHACHAPOYAS,MAGDALENA
JUNTOS POR EL PERU,54,10.953%,8.640%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MAGDALENA
FUERZA POPULAR,110,22.312%,17.600%,AMAZONAS,CHACHAPOYAS,MAGDALENA
UNION POR EL PERU,1,0.203%,0.160%,AMAZONAS,CHACHAPOYAS,MAGDALENA
RENOVACION POPULAR,27,5.477%,4.320%,AMAZONAS,CHACHAPOYAS,MAGDALENA
RENACIMIENTO UNIDO NACIONAL,4,0.811%,0.640%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PARTIDO DEMOCRATICO SOMOS PERU,4,0.811%,0.640%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PARTIDO POLITICO NACIONAL PERU LIBRE,125,25.355%,20.000%,AMAZONAS,CHACHAPOYAS,MAGDALENA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MAGDALENA
ALIANZA PARA EL PROGRESO,38,7.708%,6.080%,AMAZONAS,CHACHAPOYAS,MAGDALENA
PARTIDO NACIONALISTA PERUANO,35,9.259%,6.958%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.529%,0.398%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PARTIDO MORADO,9,2.381%,1.789%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
VICTORIA NACIONAL,19,5.026%,3.777%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
ACCION POPULAR,45,11.905%,8.946%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,26,6.878%,5.169%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PODEMOS PERU,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
JUNTOS POR EL PERU,40,10.582%,7.952%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
FUERZA POPULAR,45,11.905%,8.946%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
UNION POR EL PERU,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
RENOVACION POPULAR,56,14.815%,11.133%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
RENACIMIENTO UNIDO NACIONAL,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PARTIDO DEMOCRATICO SOMOS PERU,5,1.323%,0.994%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PARTIDO POLITICO NACIONAL PERU LIBRE,49,12.963%,9.742%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
DEMOCRACIA DIRECTA,1,0.265%,0.199%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
ALIANZA PARA EL PROGRESO,37,9.788%,7.356%,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PARTIDO NACIONALISTA PERUANO,35,9.259%,6.958%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.529%,0.398%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PARTIDO MORADO,9,2.381%,1.789%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
VICTORIA NACIONAL,19,5.026%,3.777%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
ACCION POPULAR,45,11.905%,8.946%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,26,6.878%,5.169%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PODEMOS PERU,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
JUNTOS POR EL PERU,40,10.582%,7.952%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
FUERZA POPULAR,45,11.905%,8.946%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
UNION POR EL PERU,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
RENOVACION POPULAR,56,14.815%,11.133%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
RENACIMIENTO UNIDO NACIONAL,3,0.794%,0.596%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PARTIDO DEMOCRATICO SOMOS PERU,5,1.323%,0.994%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PARTIDO POLITICO NACIONAL PERU LIBRE,49,12.963%,9.742%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
DEMOCRACIA DIRECTA,1,0.265%,0.199%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
ALIANZA PARA EL PROGRESO,37,9.788%,7.356%,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PARTIDO NACIONALISTA PERUANO,5,1.475%,1.124%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,1.770%,1.348%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PARTIDO MORADO,5,1.475%,1.124%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
VICTORIA NACIONAL,15,4.425%,3.371%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
ACCION POPULAR,56,16.519%,12.584%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,12,3.540%,2.697%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PODEMOS PERU,2,0.590%,0.449%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
JUNTOS POR EL PERU,36,10.619%,8.090%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PARTIDO POPULAR CRISTIANO - PPC,1,0.295%,0.225%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
FUERZA POPULAR,75,22.124%,16.854%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
RENOVACION POPULAR,15,4.425%,3.371%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
RENACIMIENTO UNIDO NACIONAL,3,0.885%,0.674%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PARTIDO DEMOCRATICO SOMOS PERU,5,1.475%,1.124%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PARTIDO POLITICO NACIONAL PERU LIBRE,79,23.304%,17.753%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
ALIANZA PARA EL PROGRESO,24,7.080%,5.393%,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PARTIDO NACIONALISTA PERUANO,44,4.555%,3.446%,AMAZONAS,CHACHAPOYAS,OLLEROS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,0.621%,0.470%,AMAZONAS,CHACHAPOYAS,OLLEROS
PARTIDO MORADO,15,1.553%,1.175%,AMAZONAS,CHACHAPOYAS,OLLEROS
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,OLLEROS
VICTORIA NACIONAL,31,3.209%,2.428%,AMAZONAS,CHACHAPOYAS,OLLEROS
ACCION POPULAR,118,12.215%,9.240%,AMAZONAS,CHACHAPOYAS,OLLEROS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,60,6.211%,4.699%,AMAZONAS,CHACHAPOYAS,OLLEROS
PODEMOS PERU,22,2.277%,1.723%,AMAZONAS,CHACHAPOYAS,OLLEROS
JUNTOS POR EL PERU,139,14.389%,10.885%,AMAZONAS,CHACHAPOYAS,OLLEROS
PARTIDO POPULAR CRISTIANO - PPC,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,OLLEROS
FUERZA POPULAR,135,13.975%,10.572%,AMAZONAS,CHACHAPOYAS,OLLEROS
UNION POR EL PERU,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,OLLEROS
RENOVACION POPULAR,77,7.971%,6.030%,AMAZONAS,CHACHAPOYAS,OLLEROS
RENACIMIENTO UNIDO NACIONAL,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,OLLEROS
PARTIDO DEMOCRATICO SOMOS PERU,14,1.449%,1.096%,AMAZONAS,CHACHAPOYAS,OLLEROS
PARTIDO POLITICO NACIONAL PERU LIBRE,240,24.845%,18.794%,AMAZONAS,CHACHAPOYAS,OLLEROS
DEMOCRACIA DIRECTA,1,0.104%,0.078%,AMAZONAS,CHACHAPOYAS,OLLEROS
ALIANZA PARA EL PROGRESO,55,5.694%,4.307%,AMAZONAS,CHACHAPOYAS,OLLEROS
PARTIDO NACIONALISTA PERUANO,44,4.555%,3.446%,AMAZONAS,CHACHAPOYAS,QUINJALCA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,0.621%,0.470%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PARTIDO MORADO,15,1.553%,1.175%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,QUINJALCA
VICTORIA NACIONAL,31,3.209%,2.428%,AMAZONAS,CHACHAPOYAS,QUINJALCA
ACCION POPULAR,118,12.215%,9.240%,AMAZONAS,CHACHAPOYAS,QUINJALCA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,60,6.211%,4.699%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PODEMOS PERU,22,2.277%,1.723%,AMAZONAS,CHACHAPOYAS,QUINJALCA
JUNTOS POR EL PERU,139,14.389%,10.885%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PARTIDO POPULAR CRISTIANO - PPC,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,QUINJALCA
FUERZA POPULAR,135,13.975%,10.572%,AMAZONAS,CHACHAPOYAS,QUINJALCA
UNION POR EL PERU,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,QUINJALCA
RENOVACION POPULAR,77,7.971%,6.030%,AMAZONAS,CHACHAPOYAS,QUINJALCA
RENACIMIENTO UNIDO NACIONAL,3,0.311%,0.235%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PARTIDO DEMOCRATICO SOMOS PERU,14,1.449%,1.096%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PARTIDO POLITICO NACIONAL PERU LIBRE,240,24.845%,18.794%,AMAZONAS,CHACHAPOYAS,QUINJALCA
DEMOCRACIA DIRECTA,1,0.104%,0.078%,AMAZONAS,CHACHAPOYAS,QUINJALCA
ALIANZA PARA EL PROGRESO,55,5.694%,4.307%,AMAZONAS,CHACHAPOYAS,QUINJALCA
PARTIDO NACIONALISTA PERUANO,9,3.309%,2.594%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,1.838%,1.441%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PARTIDO MORADO,4,1.471%,1.153%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
VICTORIA NACIONAL,9,3.309%,2.594%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
ACCION POPULAR,34,12.500%,9.798%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,7,2.574%,2.017%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PODEMOS PERU,2,0.735%,0.576%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
JUNTOS POR EL PERU,63,23.162%,18.156%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PARTIDO POPULAR CRISTIANO - PPC,4,1.471%,1.153%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
FUERZA POPULAR,29,10.662%,8.357%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
UNION POR EL PERU,1,0.368%,0.288%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
RENOVACION POPULAR,18,6.618%,5.187%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
RENACIMIENTO UNIDO NACIONAL,1,0.368%,0.288%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PARTIDO DEMOCRATICO SOMOS PERU,5,1.838%,1.441%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PARTIDO POLITICO NACIONAL PERU LIBRE,51,18.750%,14.697%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
ALIANZA PARA EL PROGRESO,30,11.029%,8.646%,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PARTIDO NACIONALISTA PERUANO,14,7.292%,5.761%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,1.042%,0.823%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PARTIDO MORADO,5,2.604%,2.058%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PERU PATRIA SEGURA,1,0.521%,0.412%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
VICTORIA NACIONAL,8,4.167%,3.292%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
ACCION POPULAR,43,22.396%,17.695%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,21,10.938%,8.642%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PODEMOS PERU,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
JUNTOS POR EL PERU,21,10.938%,8.642%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
FUERZA POPULAR,23,11.979%,9.465%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
RENOVACION POPULAR,10,5.208%,4.115%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PARTIDO DEMOCRATICO SOMOS PERU,3,1.562%,1.235%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PARTIDO POLITICO NACIONAL PERU LIBRE,30,15.625%,12.346%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
DEMOCRACIA DIRECTA,1,0.521%,0.412%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
ALIANZA PARA EL PROGRESO,10,5.208%,4.115%,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PARTIDO NACIONALISTA PERUANO,8,4.969%,3.980%,AMAZONAS,CHACHAPOYAS,SOLOCO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",18,11.180%,8.955%,AMAZONAS,CHACHAPOYAS,SOLOCO
