ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
ALIANZA PARA EL PROGRESO,167,8.029%,5.813%,AMAZONAS,BAGUA,COPALLIN
PARTIDO NACIONALISTA PERUANO,117,15.726%,12.238%,AMAZONAS,BAGUA,EL PARCO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.403%,0.314%,AMAZONAS,BAGUA,EL PARCO
PARTIDO MORADO,3,0.403%,0.314%,AMAZONAS,BAGUA,EL PARCO
PERU PATRIA SEGURA,1,0.134%,0.105%,AMAZONAS,BAGUA,EL PARCO
VICTORIA NACIONAL,60,8.065%,6.276%,AMAZONAS,BAGUA,EL PARCO
ACCION POPULAR,64,8.602%,6.695%,AMAZONAS,BAGUA,EL PARCO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,14,1.882%,1.464%,AMAZONAS,BAGUA,EL PARCO
PODEMOS PERU,14,1.882%,1.464%,AMAZONAS,BAGUA,EL PARCO
JUNTOS POR EL PERU,37,4.973%,3.870%,AMAZONAS,BAGUA,EL PARCO
PARTIDO POPULAR CRISTIANO - PPC,1,0.134%,0.105%,AMAZONAS,BAGUA,EL PARCO
FUERZA POPULAR,71,9.543%,7.427%,AMAZONAS,BAGUA,EL PARCO
UNION POR EL PERU,41,5.511%,4.289%,AMAZONAS,BAGUA,EL PARCO
RENOVACION POPULAR,42,5.645%,4.393%,AMAZONAS,BAGUA,EL PARCO
RENACIMIENTO UNIDO NACIONAL,8,1.075%,0.837%,AMAZONAS,BAGUA,EL PARCO
PARTIDO DEMOCRATICO SOMOS PERU,7,0.941%,0.732%,AMAZONAS,BAGUA,EL PARCO
PARTIDO POLITICO NACIONAL PERU LIBRE,214,28.763%,22.385%,AMAZONAS,BAGUA,EL PARCO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BAGUA,EL PARCO
ALIANZA PARA EL PROGRESO,47,6.317%,4.916%,AMAZONAS,BAGUA,EL PARCO
PARTIDO NACIONALISTA PERUANO,1027,13.730%,9.396%,AMAZONAS,BAGUA,IMAZA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",30,0.401%,0.274%,AMAZONAS,BAGUA,IMAZA
PARTIDO MORADO,157,2.099%,1.436%,AMAZONAS,BAGUA,IMAZA
PERU PATRIA SEGURA,8,0.107%,0.073%,AMAZONAS,BAGUA,IMAZA
VICTORIA NACIONAL,107,1.430%,0.979%,AMAZONAS,BAGUA,IMAZA
ACCION POPULAR,208,2.781%,1.903%,AMAZONAS,BAGUA,IMAZA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,68,0.909%,0.622%,AMAZONAS,BAGUA,IMAZA
PODEMOS PERU,1723,23.035%,15.764%,AMAZONAS,BAGUA,IMAZA
JUNTOS POR EL PERU,325,4.345%,2.973%,AMAZONAS,BAGUA,IMAZA
PARTIDO POPULAR CRISTIANO - PPC,11,0.147%,0.101%,AMAZONAS,BAGUA,IMAZA
FUERZA POPULAR,338,4.519%,3.092%,AMAZONAS,BAGUA,IMAZA
UNION POR EL PERU,408,5.455%,3.733%,AMAZONAS,BAGUA,IMAZA
RENOVACION POPULAR,252,3.369%,2.306%,AMAZONAS,BAGUA,IMAZA
RENACIMIENTO UNIDO NACIONAL,57,0.762%,0.522%,AMAZONAS,BAGUA,IMAZA
PARTIDO DEMOCRATICO SOMOS PERU,28,0.374%,0.256%,AMAZONAS,BAGUA,IMAZA
PARTIDO POLITICO NACIONAL PERU LIBRE,2365,31.618%,21.638%,AMAZONAS,BAGUA,IMAZA
DEMOCRACIA DIRECTA,9,0.120%,0.082%,AMAZONAS,BAGUA,IMAZA
