,iso2_code,year,quarter,num_repos
242,SR,2020,3,2146
243,SR,2020,4,2356
244,SR,2021,1,2865
245,SR,2021,2,3124
246,SR,2021,3,3014
247,SR,2021,4,3091
248,SR,2022,1,3406
249,SR,2022,2,3584
250,SR,2022,3,4005
251,SR,2022,4,4176
252,SR,2023,1,4450
253,SR,2023,2,4661
254,SR,2023,3,4851
255,SR,2023,4,4980
256,SR,2024,1,5162
257,SR,2024,2,5389
258,SR,2024,3,5461
259,SR,2024,4,5584
260,SR,2025,1,5915
261,SR,2025,2,0
262,SR,2025,3,0
263,SR,2025,4,0
264,UY,2020,1,65571
265,UY,2020,2,70318
266,UY,2020,3,76842
267,UY,2020,4,86919
268,UY,2021,1,93211
269,UY,2021,2,96591
270,UY,2021,3,104751
271,UY,2021,4,112746
272,UY,2022,1,124049
273,UY,2022,2,135330
274,UY,2022,3,149288
275,UY,2022,4,160292
276,UY,2023,1,172686
277,UY,2023,2,181190
278,UY,2023,3,198316
279,UY,2023,4,209424
280,UY,2024,1,215937
281,UY,2024,2,226058
282,UY,2024,3,238183
283,UY,2024,4,251275
284,UY,2025,1,257655
285,UY,2025,2,0
286,UY,2025,3,0
287,UY,2025,4,0
288,VE,2020,1,104299
289,VE,2020,2,111811
290,VE,2020,3,121298
291,VE,2020,4,129941
292,VE,2021,1,141092
293,VE,2021,2,153270
294,VE,2021,3,165237
295,VE,2021,4,175078
296,VE,2022,1,190373
297,VE,2022,2,203298
298,VE,2022,3,221382
299,VE,2022,4,234444
300,VE,2023,1,255496
301,VE,2023,2,273051
302,VE,2023,3,288355
303,VE,2023,4,304615
304,VE,2024,1,321927
305,VE,2024,2,339253
306,VE,2024,3,353254
307,VE,2024,4,362967
308,VE,2025,1,380857
309,VE,2025,2,0
310,VE,2025,3,0
311,VE,2025,4,0
