id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,eu_dist
19490,16704,SD,POSTA MÉDICA DE PUCARÁ,CAJAMARCA,NO PERTENECE A NINGUNA RED,CALLE CALLE SAN MARTÍN S/N PUCARÁ S/N CALLE SAN MARTÍN S/N PUCARÁ PUCARA JAEN CAJAMARCA,-79.1297751,-6.0418671,643,6,CAJAMARCA,8,JAEN,8,PUCARA,PUCARA,60808,PUCARA,-6.039986978158075,-79.12365551040568,0.006401893074973436
24910,4830,I-3,PULAN,CAJAMARCA,SANTA CRUZ,OTROS GNRL. CABREJOS S/N NÚMERO S/N DISTRITO PULAN PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.92323,-6.73994,685,6,CAJAMARCA,13,SANTA CRUZ,7,PULAN,PULAN,61307,PULAN,-6.746564193315141,-78.92116181232358,0.006939548785136703
7190,5007,I-2,SANTA ROSA DE QUEROCOTILLO,CAJAMARCA,CUTERVO,OTROS LOCALIDAD SANTA ROSA LOCALIDAD SANTA ROSA QUEROCOTILLO CUTERVO CAJAMARCA,-79.08397231,-6.2160125,624,6,CAJAMARCA,6,CUTERVO,7,QUEROCOTILLO,QUEROCOTILLO,60607,QUEROCOTILLO,-6.196787754579376,-79.09163350392943,0.020695041167202728
26864,11327,I-1,PARAGUAY,CAJAMARCA,CHOTA,OTROS CENTRO POBLADO PARAGUAY CENTRO POBLADO PARAGUAY QUEROCOTO CHOTA CAJAMARCA,-79.07915777,-6.36131899,605,6,CAJAMARCA,4,CHOTA,15,QUEROCOTO,QUEROCOTO,60415,QUEROCOTO,-6.352218191989084,-79.09294326718505,0.016518609417097964
13169,4250,I-3,SALLIQUE,CAJAMARCA,JAEN,CALLE CALLE ALFONSO UGARTE S/N S/N CALLE ALFONSO UGARTE S/N SALLIQUE JAEN CAJAMARCA,-79.31577965,-5.65620348,644,6,CAJAMARCA,8,JAEN,9,SALLIQUE,SALLIQUE,60809,SALLIQUE,-5.625686059091744,-79.31242741575443,0.03070098456611521
9776,5034,I-3,SAN ANDRES,CAJAMARCA,SOCOTA,CARRETERA CARRETERA SAN ANDRES-SOCOTA CARRETERA SAN ANDRES-SOCOTA SAN ANDRES DE CUTERVO CUTERVO CAJAMARCA,-78.70804708,-6.24053655,625,6,CAJAMARCA,6,CUTERVO,8,SAN ANDRES DE CUTERVO,SAN ANDRES DE CUTERVO,60608,SAN ANDRES DE CUTERVO,-6.224067513358646,-78.7422789712748,0.037987518320416414
18118,4555,I-2,SAN BENITO,CAJAMARCA,CONTUMAZA,AVENIDA AV. ANDREZ ABELINO CACERES N° 151 DISTRITO SAN BENITO PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.92762956,-7.42775777,614,6,CAJAMARCA,5,CONTUMAZA,5,SAN BENITO,SAN BENITO,60505,SAN BENITO,-7.502785547355022,-78.96231940728968,0.0826592576776267
14321,4579,I-1,POLAN,CAJAMARCA,SAN PABLO,OTROS LOCALIDAD DE POLAN DISTRITO SAN BERNARDINO PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.76941805,-7.15555602,676,6,CAJAMARCA,12,SAN PABLO,2,SAN BERNARDINO,SAN BERNARDINO,61202,SAN BERNARDINO,-7.174980674339086,-78.78564955844057,0.02531361417200702
21403,4254,I-3,SAN FELIPE,CAJAMARCA,JAEN,OTROS COMUNIDAD SAN FELIPE COMUNIDAD SAN FELIPE SAN FELIPE JAEN CAJAMARCA,-79.31283463,-5.77025781,645,6,CAJAMARCA,8,JAEN,10,SAN FELIPE,SAN FELIPE,60810,SAN FELIPE,-5.786477227250232,-79.31021142229889,0.016430176949145742
13171,4535,I-1,EL SAUCE,CAJAMARCA,SAN MIGUEL,OTROS LOCALIDAD EL SAUCE DISTRITO SAN GREGORIO PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.12735,-7.06395,671,6,CAJAMARCA,11,SAN MIGUEL,10,SAN GREGORIO,SAN GREGORIO,61110,SAN GREGORIO,-7.117978014363154,-79.16096822944561,0.063633416434156
