,id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,ind,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,distancia,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic,travel_time_pesimistic,travel_distance_pesimistic
1191,26156,6995,I-1,PISAGUAS,CAJAMARCA,SAN IGNACIO,OTROS COMUNIDAD DE PISAGUAS DISTRITO HUARANGO PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-78.64009333,-5.24869333,650,1,1,AMAZONAS,2,BAGUA,5,IMAZA,CHIRIACO,10205,102,10205,159,IMAZA,-4.99126684432514,-78.38959521553005,39.86263428412445,,,,,,,,
526,25604,4640,I-3,LA TULPUNA,CAJAMARCA,CAJAMARCA,AVENIDA AV. ALFONSO UGARTE S/N S/N AV. ALFONSO UGARTE S/N CAJAMARCA CAJAMARCA CAJAMARCA,-78.55323,-7.06213,563,1,6,CAJAMARCA,1,CAJAMARCA,1,CAJAMARCA,CAJAMARCA,60101,601,60101,126,CAJAMARCA,-7.077465094056442,-78.56111128956503,1.9141647110836941,2674.0,2674.0,2674.0,17798.0,17798.0,17798.0,,
712,7185,4625,I-2,ASUNCION,CAJAMARCA,CAJAMARCA,JIRÓN JR. EL INCA N° 358 JR. EL INCA N° 358 ASUNCION CAJAMARCA CAJAMARCA,-78.51852644,-7.32536372,564,1,6,CAJAMARCA,1,CAJAMARCA,2,ASUNCION,ASUNCION,60102,601,60102,77,ASUNCION,-7.338237028825001,-78.5271835710878,1.7206402850543796,156.0,156.0,156.0,463.0,463.0,463.0,,
728,7777,4653,I-2,CHETILLA,CAJAMARCA,CAJAMARCA,JIRÓN JR. SAN PEDRO S/N S/N JR. SAN PEDRO S/N CHETILLA CAJAMARCA CAJAMARCA,-78.6737509,-7.14631393,565,1,6,CAJAMARCA,1,CAJAMARCA,3,CHETILLA,CHETILLA,60103,601,60103,40,CHETILLA,-7.142504145663757,-78.65402714365003,2.2170035944327897,1641.0,1641.0,1641.0,11087.0,11087.0,11087.0,,
715,9447,4627,I-2,COSPAN,CAJAMARCA,CAJAMARCA,JIRÓN JR. BOLIVAR S/N S/N JR. BOLIVAR S/N COSPAN CAJAMARCA CAJAMARCA,-78.54295072,-7.42671499,566,1,6,CAJAMARCA,1,CAJAMARCA,4,COSPAN,COSPAN,60104,601,60104,63,COSPAN,-7.453031861989977,-78.51685530281875,4.1038776555362135,13.0,13.0,13.0,71.0,71.0,71.0,,
497,9366,4599,I-1,YERBA BUENA,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE YERBA BUENA DISTRITO ENCAÑADA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.37325155,-6.99192237,567,1,6,CAJAMARCA,1,CAJAMARCA,5,ENCAÑADA,ENCAÑADA,60105,601,60105,110,ENCAÑADA,-6.98522815524193,-78.40294104106351,3.360275366178385,2977.0,,2977.0,18939.0,,18939.0,2977.0,18939.0
723,7776,4635,I-1,EL CARMEN,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD EL CARMEN DISTRITO JESUS PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.32248816,-7.3008959,568,1,6,CAJAMARCA,1,CAJAMARCA,6,JESUS,JESUS,60106,601,60106,65,JESUS,-7.298307992783807,-78.36664819792553,4.8790684289087505,2656.0,2656.0,2656.0,16045.0,16045.0,16045.0,,
512,22304,4604,I-2,LLACANORA,CAJAMARCA,CAJAMARCA,OTROS PROLG. CATARATAS N° 311 PROLG. CATARATAS N° 311 LLACANORA CAJAMARCA CAJAMARCA,-78.42567616,-7.19224192,569,1,6,CAJAMARCA,1,CAJAMARCA,7,LLACANORA,LLACANORA,60107,601,60107,47,LLACANORA,-7.189598635181219,-78.41184104232502,1.5543373083770409,74.0,74.0,74.0,236.0,236.0,236.0,,
484,4380,4650,I-1,HUACATAZ,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE HUACATAZ DISTRITO LOS BAÑOS DEL INCA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.429987,-7.078862,570,1,6,CAJAMARCA,1,CAJAMARCA,8,LOS BAÑOS DEL INCA,LOS BAÑOS DEL INCA,60108,601,60108,74,LOS BAÑOS DEL INCA,-7.090123121733361,-78.45597511219698,3.129147696407792,1845.0,,1845.0,11740.0,,11740.0,1845.0,11740.0
718,25603,4631,I-1,CUMBICO,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE CUMBICO S/N COMUNIDAD DE CUMBICO MAGDALENA CAJAMARCA CAJAMARCA,-78.632315,-7.213976,571,1,6,CAJAMARCA,1,CAJAMARCA,9,MAGDALENA,MAGDALENA,60109,601,60109,108,MAGDALENA,-7.224728505531067,-78.62238468653182,1.621579600959689,2372.0,2372.0,2372.0,14578.0,14578.0,14578.0,,
370,25290,4603,I-2,MATARA,CAJAMARCA,CAJAMARCA,AVENIDA AV.GONZALO PACIFICO CABRERA N° 286 DISTRITO MATARA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.26372,-7.25651,572,1,6,CAJAMARCA,1,CAJAMARCA,10,MATARA,MATARA,60110,601,60110,21,MATARA,-7.272018782157795,-78.25947777718508,1.786854515455719,78.0,78.0,78.0,333.0,333.0,333.0,,
509,9884,4602,I-2,NAMORA,CAJAMARCA,CAJAMARCA,JIRÓN JR. VICTORIA CORTEZ S/N S/N JR. VICTORIA CORTEZ S/N NAMORA CAJAMARCA CAJAMARCA,-78.3233237,-7.20283723,573,1,6,CAJAMARCA,1,CAJAMARCA,11,NAMORA,NAMORA,60111,601,60111,40,NAMORA,-7.184364016375891,-78.28407074183642,4.792867123373152,1448.0,1448.0,1448.0,10691.0,10691.0,10691.0,,
721,24348,4633,I-3,SAN JUAN,CAJAMARCA,CAJAMARCA,JIRÓN JR.EL PROGRESO N°130 JR.EL PROGRESO N°130 SAN JUAN CAJAMARCA CAJAMARCA,-78.49506255,-7.29234457,574,1,6,CAJAMARCA,1,CAJAMARCA,12,SAN JUAN,SAN JUAN,60112,601,60112,43,SAN JUAN,-7.273909973011706,-78.48197922947648,2.506839405020425,36.0,36.0,36.0,183.0,183.0,183.0,,
374,27565,7651,I-1,CHANSHAPAMPA,CAJAMARCA,CAJABAMBA,OTROS CASERIO CHANSHAPAMPA DISTRITO CAJABAMBA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.0304932,-7.63233824,575,1,6,CAJAMARCA,2,CAJABAMBA,1,CAJABAMBA,CAJABAMBA,60201,602,60201,47,CAJABAMBA,-7.631450909366323,-78.03214219886948,0.2067924225738008,441.0,441.0,441.0,2203.0,2203.0,2203.0,,
381,3296,4513,I-2,ALGAMARCA,CAJAMARCA,CAJABAMBA,OTROS CPM SAN JOSE DE ALGAMARCA DISTRITO CACHACHI PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.24673724,-7.60726053,576,1,6,CAJAMARCA,2,CAJABAMBA,2,CACHACHI,CACHACHI,60202,602,60202,183,CACHACHI,-7.567687463603137,-78.25332891600632,4.4599010900707645,8063.0,8063.0,8063.0,64116.0,64116.0,64116.0,,
