Department_univ,Province_univ,Name_univ,Adress_univ,Latitude_univ,Longitude_univ
Lima,Lima,Universidad de San Martín de Porres,"Universidad de San Martín de Porres, Lima, Lima",-12.1050193,-77.01736660000002
Lima,Lima,Universidad Femenina del Sagrado Corazón,"Universidad Femenina del Sagrado Corazón, Lima, Lima",-12.0716313,-76.9650529
Lima,Lima,Universidad Inca Garcilaso de la Vega,"Universidad Inca Garcilaso de la Vega, Lima, Lima",-12.0608746,-77.0392569
Piura,Piura,Universidad de Piura,"Universidad de Piura, Piura, Piura",-5.1766923,-80.6346434
Lima,Lima,Universidad Ricardo Palma,"Universidad Ricardo Palma, Lima, Lima",-12.1318477,-76.9796467
Puno,San Román,Universidad Andina Néstor Cáceres Velásquez,"Universidad Andina Néstor Cáceres Velásquez, San Román, Puno",-15.532748,-70.118667
Junín,Huancayo,Universidad Peruana Los Andes,"Universidad Peruana Los Andes, Huancayo, Junín",-12.0400383,-75.1924434
Lima,Lima,Universidad Peruana Unión,"Universidad Peruana Unión, Lima, Lima",-11.989087,-76.83966199999999
Cusco,Cusco,Universidad Andina del Cusco,"Universidad Andina del Cusco, Cusco, Cusco",-13.5375735,-71.9038466
Apurímac,Abancay,Universidad Tecnológica de los Andes,"Universidad Tecnológica de los Andes, Abancay, Apurímac",-13.6323333,-72.8871776
Tacna,Tacna,Universidad Privada de Tacna,"Universidad Privada de Tacna, Tacna, Tacna",-18.0048523,-70.22611719999999
Lambayeque,Chiclayo,Universidad Particular de Chiclayo,"Universidad Particular de Chiclayo, Chiclayo, Lambayeque",-6.7917517,-79.88073779999999
Ancash,Santa,Universidad San Pedro (*1),"Universidad San Pedro (*1), Santa, Ancash",-9.0532681,-78.5907465
La Libertad,Trujillo,Universidad Privada Antenor Orrego,"Universidad Privada Antenor Orrego, Trujillo, La Libertad",-8.1269948,-79.0314248
Huánuco,Huánuco,Universidad de Huánuco,"Universidad de Huánuco, Huánuco, Huánuco",-9.9284112,-76.2371722
Moquegua,Mariscal Nieto,Universidad José Carlos Mariátegui (*2),"Universidad José Carlos Mariátegui (*2), Mariscal Nieto, Moquegua",-17.1900294,-70.9423867
Lima,Lima,Universidad Marcelino Champagnat,"Universidad Marcelino Champagnat, Lima, Lima",-12.13674,-77.00605639999999
